,Global Entity\,Logistics Area,Source,SF Status Raw, Vendor name,Vendor Grade,City,Address,Latitude,Longitude,Phone,Main Cuisine,Lead ID,Accuracy,Status ,Handler email,GRID,global_entity_id,lead_id,lead_source,restaurant_name,restaurant_area,restaurant_address,restaurant_post_code,restaurant_lat,restaurant_long,restaurant_city,haversine_distance
43,HS_SA,sales,keeta,No Match,Teller,,Riyadh,"الستين, الشفا شارع, Riyadh",24.5509,46.6988,,"Beverages, Coffee, Chocolate, Breakfast, Dessert",594129,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HAMMCB,HS_SA,HAMMCB,salesforce,Teller : Al Hazm,Al Hazm,حمزة بن عبدالمطلب، الحزم، الرياض 14964,14964,24.546796,46.648056,Riyadh,5.152684928976268
44,HS_SA,logistics_proximity,keeta,No Match,The Pasta Guyz,,Riyadh,"7527 Khafiya Valley, 2960, Badr, Riyadh 14718, Saudi Arabia",24.542,46.7256,,"Italian, Pasta",581046,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,4CJEEF,HS_SA,4CJEEF,salesforce,The Pasta Guyz,Dhahrat Laban,"24.6242667589394, 46.55286332546652",,24.62419479999999,46.5530796,Riyadh,19.69382295513891
45,HS_SA,sales,keeta,No Match,Tikka Corner,,Riyadh,"Jarir St, Al Malaz, Riyadh 12831",24.6712,46.7341,,"International, Indian, Meat, Fine Dining",590754,Invalid lead (Add reason),Already exist,Mohamed Zeidan ,HR6N3L,HS_SA,HR6N3L,salesforce,Indian Corner:Al Humaylah,Al Humaylah,000,1174,18.3069362,42.7154167,Khamis Mushayt,820.6203143502051
46,HS_SA,sales,keeta,No Match,Top Tasting Pizza and Pasta,,Riyadh,"3989 Prince Mohammed Bin Saud Bin Faisal, Al Khalidiyyah, Riyadh 12874 7807, Al Khalidiyyah, Riyadh 12874, Saudi Arabia",24.6289,46.7562,,"Italian, Pizza, Pasta, Meat, Gathering, Italian",573610,Invalid lead (Add reason),Already exist,Bandar Alshathri,4F6O1P,HS_SA,4F6O1P,salesforce,Top Tasting Pizza and Pasta,Alawali,Al Tawhed St.,,24.5590431,46.61471940000001,Riyadh,16.27767551679273
47,HS_SA,logistics_proximity,keeta,No Match,Top Tasting Pizza and Pasta,,Riyadh,"Al Shabab, Al Aziziyah, Riyadh 14512, Saudi Arabia",24.5971,46.7555,,"Italian, Pizza, Pasta, Italian",583458,Invalid lead (Add reason),Duplicate,Bandar Alshathri,,,,,,,,,,,,
48,HS_SA,logistics_proximity,keeta,No Match,Torta and More,,Riyadh,"Jarir, Riyadh 12833, Saudi Arabia",24.6862,46.749,,"Fast Food, Sandwich",479452,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,4FBM5R,HS_SA,4FBM5R,salesforce,Torta and More,Al Isdihar,الحسين بن علي,12485,24.7783531,46.71140820000001,Riyadh,10.927683361794688
49,HS_SA,sales,keeta,No Match,Usthad Family Restaurant,,Riyadh,"3901 Prince Mohammed Bin Abdulrahman Bin Abdulaziz, 3901, As Sali, 8511, Riyadh 14322",24.6391,46.8443,,"Arabic, Saudi",496206,Invalid lead (Add reason),Duplicate,Ahmed khalil,,,,,,,,,,,,
50,HS_SA,sales,keeta,No Match,Wagyu Burger,,Riyadh,JP3J+WX5، المنصورة، الرياض 12684، المملكة العربية السعودية,24.6035,46.7344,,"Fast Food, Burger, Gathering, American",483007,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,4C48UL,HS_SA,4C48UL,salesforce,Wagyu:Aqiq,Aqiq,"Prince Muhammad Ibn Saad Ibn Abdulaziz Rd, Al Aqiq, Riyadh 13511",,24.7669057,46.62344090000001,Riyadh,21.349983699285744
51,HS_SA,logistics_proximity,keeta,No Match,Ward Saif Al Hindi,,Riyadh,طريق الأمير سعد بن عبدالرحمن الأول، الجزيرة، الرياض 13350,24.6821,46.7867,,"Asian, Pakistani",570941,Invalid lead (Add reason),Already exist,Ahmed khalil,4FB0YG,HS_SA,4FB0YG,salesforce,Indian Summer,Jazirah,طريق الامير سعد بن عبدالرحمن الاول الفرعي,14251,24.6821657,46.7868698,Riyadh,0.01864659978184904
52,HS_SA,logistics,keeta,No Match,Wirsa Restaurant,,Riyadh,"Haroon Al Rashid Rd, As Sulay, Riyadh 14264, Saudi Arabia",24.658,46.8122,,"Asian, Pakistani, Meat",450082,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HA0YB4,HS_SA,HA0YB4,salesforce,Wirsa Restaurant,2صثثضصث,,12231,24.6874104,46.706924,Riyadh,11.128814222929194
